,0,1
0,57,1
1,2,57
2,31,4
3,4,2
4,5,6
5,6,7
6,7,8
7,7,9
8,9,10
9,10,8
10,11,12
11,12,13
12,13,14
13,14,15
14,15,16
15,11,17
16,17,18
17,18,19
18,19,14
19,18,8
20,8,20
21,20,15
22,8,10
23,10,22
24,22,16
25,17,23
26,23,13
27,23,17
28,17,11
29,13,12
30,12,11
31,23,12
32,17,24
33,24,25
34,25,26
35,11,28
36,28,26
37,18,29
38,29,30
39,30,25
40,30,6
41,6,32
42,29,7
43,7,6
44,16,22
45,22,33
46,33,34
47,35,36
48,16,37
49,38,59
50,38,40
51,40,41
52,28,24
53,24,29
54,26,25
55,25,30
56,30,29
57,43,44
58,44,45
59,37,36
60,36,35
61,34,46
62,46,47
63,47,35
64,22,10
65,10,48
66,48,46
67,13,23
68,49,50
69,49,52
70,50,38
71,64,48
72,48,10
73,49,53
74,53,38
75,6,30
76,9,7
77,16,15
78,15,14
79,14,13
80,15,20
81,20,8
82,8,18
83,18,17
84,35,47
85,47,46
86,46,48
87,36,37
88,37,16
89,48,54
90,54,55
91,10,9
92,9,0
93,0,54
94,14,19
95,19,18
96,32,45
97,45,55
98,58,53
99,53,43
100,52,21
101,53,49
102,38,50
103,48,64
104,59,38
105,12,23
106,25,60
107,60,61
108,6,5
109,29,24
110,24,28
111,43,62
112,62,63
113,44,62
114,19,20
115,41,46
116,32,0
117,54,48
118,8,7
119,0,32
120,54,0
121,38,53
122,62,27
123,27,32
124,40,38
125,52,43
126,55,45
127,26,28
128,28,11
129,41,40
130,46,34
131,34,33
132,33,22
133,43,53
134,21,52
135,46,41
136,29,18
137,53,58
138,50,49
139,44,58
140,25,24
141,24,17
142,58,44
143,27,56
144,59,58
145,45,32
146,32,27
147,32,6
148,5,2
149,55,54
150,7,29
151,45,0
152,55,58
153,1,61
154,61,60
155,60,25
156,57,2
157,2,5
158,31,57
159,56,27
160,61,42
161,42,26
162,4,21
163,21,63
164,63,62
165,45,44
166,44,43
167,0,45
168,42,61
169,61,1
170,1,57
171,27,62
172,62,43
173,39,41
174,22,20
175,26,42
176,0,9
177,21,4
178,20,19
179,62,44
180,63,21
181,4,31
182,57,31
183,57,3
184,2,4
185,3,57
186,60,3
187,41,39
188,30,3
189,3,60
190,3,5
191,5,3
192,59,58
193,58,59
194,59,39
195,39,59
196,50,51
197,51,50
198,40,51
199,51,40
200,37,33
201,33,37
202,36,34
203,34,36
204,42,60
205,60,42
206,56,2
207,2,56
208,56,63
209,63,56
210,52,49
211,43,52
212,20,22
213,3,30
214,64,55
215,55,64
216,64,39
217,39,64
218,58,55
